Row ID,Industry,Company,Name,Project Type,Project_Status,Technology,Key Tech,Key Values,Location,Region,Year,More
30.0,CONSULTING,BCG,BCG Henderson Institute,INITIATIVE,Ongoing,Data Analytics,Analytics & Visualization,Decision Making,nil,Other,ongoing,2015
30.0,CONSULTING,BCG,BCG Henderson Institute,INITIATIVE,Ongoing,Data Visualisation,Analytics & Visualization,Decision Making,nil,Other,ongoing,2015
31.0,CONSULTING,BCG,UP42 (BCG X),PRODUCT,Completed,AI,Analytics & Visualization,Decision Making,Germany,Other,2019,
31.0,CONSULTING,BCG,UP42 (BCG X),PRODUCT,Completed,Machine Learning,Analytics & Visualization,Decision Making,Germany,Other,2019,
31.0,CONSULTING,BCG,UP42 (BCG X),PRODUCT,Completed,Platform,Analytics & Visualization,Decision Making,Germany,Other,2019,
31.0,CONSULTING,BCG,UP42 (BCG X),PRODUCT,Completed,API,Analytics & Visualization,Decision Making,Germany,Other,2019,
31.0,CONSULTING,BCG,UP42 (BCG X),PRODUCT,Completed,Satellite,Analytics & Visualization,Decision Making,Germany,Other,2019,
31.0,CONSULTING,BCG,UP42 (BCG X),PRODUCT,Completed,GIS,Analytics & Visualization,Decision Making,Germany,Other,2019,
32.0,CONSULTING,BCG,Machines Max (BCG X),PRODUCT,Completed,IoT,Analytics & Visualization,Decision Making,"UK, India",Other,2018,
32.0,CONSULTING,BCG,Machines Max (BCG X),PRODUCT,Completed,Hardware,Analytics & Visualization,Decision Making,"UK, India",Other,2018,
32.0,CONSULTING,BCG,Machines Max (BCG X),PRODUCT,Completed,Cloud,Analytics & Visualization,Decision Making,"UK, India",Other,2018,
32.0,CONSULTING,BCG,Machines Max (BCG X),PRODUCT,Completed,Digital Twins,Analytics & Visualization,Decision Making,"UK, India",Other,2018,
33.0,CONSULTING,BCG,"Beijing Strategic for Urban District, Tongzhou",URBAN DESIGN,Completed,Data Science,AI & Machine Learning,Sustainability,China,Asia,,
33.0,CONSULTING,BCG,"Beijing Strategic for Urban District, Tongzhou",URBAN DESIGN,Completed,Data Analytics,AI & Machine Learning,Sustainability,China,Asia,,
33.0,CONSULTING,BCG,"Beijing Strategic for Urban District, Tongzhou",URBAN DESIGN,Completed,Data Spaces,AI & Machine Learning,Sustainability,China,Asia,,
33.0,CONSULTING,BCG,"Beijing Strategic for Urban District, Tongzhou",URBAN DESIGN,Completed,Software Tech & Computing,AI & Machine Learning,Sustainability,China,Asia,,
